open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
208.52000000,208.52000000,243.12000000,243.12000000,148.04000000,148.04000000,162.79000000,162.79000000,33029010.71000000,33029010.71000000,2021-12-15
202.53000000,202.53000000,259.90000000,259.90000000,180.93000000,180.93000000,208.53000000,208.53000000,68861296.53399999,68861296.53399999,2021-11-30
141.38000000,141.38000000,218.93000000,218.93000000,137.61000000,137.61000000,202.49000000,202.49000000,114605196.61000000,114605196.61000000,2021-10-31
108.27000000,108.27000000,216.00000000,216.00000000,105.89000000,105.89000000,141.37000000,141.37000000,236133266.19200000,236133266.19200000,2021-09-30
36.74200000,36.74200000,130.11000000,130.11000000,32.32700000,32.32700000,108.27000000,108.27000000,181725369.04699999,181725369.04699999,2021-08-31
35.51000000,35.51000000,38.10000000,38.10000000,22.10000000,22.10000000,36.74400000,36.74400000,102288822.59400000,102288822.59400000,2021-07-31
32.75900000,32.75900000,44.20000000,44.20000000,20.18700000,20.18700000,35.51000000,35.51000000,199216801.65300000,199216801.65300000,2021-06-30
42.78600000,42.78600000,58.38000000,58.38000000,19.11700000,19.11700000,32.75000000,32.75000000,249386628.94999999,249386628.94999999,2021-05-31
19.38180000,19.38180000,48.64400000,48.64400000,18.34500000,18.34500000,42.78600000,42.78600000,180922013.72200000,180922013.72200000,2021-04-30
13.08000000,13.08000000,20.87000000,20.87000000,11.90000000,11.90000000,19.38610000,19.38610000,90104218.62000000,90104218.62000000,2021-03-31
4.25680000,4.25680000,18.20520000,18.20520000,4.10750000,4.10750000,13.08870000,13.08870000,170066006.81999999,170066006.81999999,2021-02-28
1.50880000,1.50880000,4.80500000,4.80500000,1.49900000,1.49900000,4.25250000,4.25250000,228353972.91000000,228353972.91000000,2021-01-31
1.96410000,1.96410000,2.22790000,2.22790000,1.03010000,1.03010000,1.50730000,1.50730000,61945745.79000000,61945745.79000000,2020-12-31
1.54970000,1.54970000,2.51000000,2.51000000,1.27330000,1.27330000,1.96650000,1.96650000,76292964.66000000,76292964.66000000,2020-11-30
2.89670000,2.89670000,2.98890000,2.98890000,1.31630000,1.31630000,1.54970000,1.54970000,48387165.36000000,48387165.36000000,2020-10-31
4.74320000,4.74320000,4.94750000,4.94750000,2.09260000,2.09260000,2.89670000,2.89670000,78974725.90000001,78974725.90000001,2020-09-30
